STNAME,stabrv,Overall Rank, Index: White Men vs. Everyone ,White Men (% of all elected),White Women (% of all elected),Men of Color (% of all elected),Women of Color (% of all elected),White Men (% of population),White Women (% of population),Men of Color (% of population),Women of Color (% of population),Men Elected,Women Elected,Men pop,Women pop,White elected,Elected of Color,White pop,Pop of Color
new hampshire,NH,1, 0.86 ,61%,33%,4%,3%,45%,46%,4%,4%,65%,35%,49%,51%,93%,7%,92%,9%
maine,ME,2, 1.48 ,61%,34%,4%,1%,46%,48%,3%,3%,64%,35%,49%,51%,95%,5%,94%,6%
indiana,IN,3, 1.79 ,64%,29%,5%,3%,40%,41%,10%,10%,73%,31%,49%,51%,92%,8%,81%,19%
montana,MT,4, 1.85 ,53%,35%,6%,5%,44%,43%,7%,7%,60%,40%,50%,50%,88%,12%,87%,13%
minnesota,MN,5, 1.90 ,73%,20%,5%,2%,41%,41%,9%,9%,82%,22%,50%,50%,93%,7%,82%,18%
wyoming,WY,6, 2.02 ,60%,31%,6%,3%,43%,41%,8%,8%,69%,34%,51%,49%,92%,9%,84%,16%
massachusetts,MA,7, 2.17 ,63%,24%,12%,2%,36%,39%,12%,13%,75%,26%,48%,52%,86%,14%,75%,25%
illinois,IL,8, 2.29 ,65%,24%,7%,4%,31%,32%,18%,19%,83%,28%,49%,51%,89%,12%,63%,37%
oregon,OR,9, 2.34 ,67%,26%,5%,3%,38%,39%,11%,11%,79%,28%,50%,51%,93%,7%,78%,23%
nevada,NV,10, 2.55 ,56%,27%,9%,8%,27%,26%,24%,24%,80%,35%,50%,50%,83%,17%,52%,48%
new jersey,NJ,11, 2.56 ,58%,21%,15%,7%,28%,30%,21%,22%,79%,27%,49%,51%,79%,21%,58%,43%
new mexico,NM,12, 2.64 ,37%,16%,31%,17%,20%,20%,30%,31%,67%,33%,50%,51%,52%,48%,39%,61%
north carolina,NC,13, 2.67 ,60%,21%,13%,6%,32%,33%,17%,18%,78%,27%,49%,51%,82%,18%,64%,36%
michigan,MI,14, 2.98 ,64%,25%,8%,3%,38%,39%,12%,12%,76%,28%,49%,51%,89%,11%,76%,24%
north dakota,ND,15, 3.00 ,62%,29%,7%,2%,45%,43%,7%,6%,68%,31%,51%,49%,91%,9%,87%,13%
connecticut,CT,16, 3.12 ,55%,27%,15%,3%,34%,36%,15%,16%,70%,30%,49%,51%,82%,18%,70%,30%
wisconsin,WI,17, 3.17 ,68%,22%,7%,3%,41%,42%,9%,9%,77%,25%,50%,50%,91%,9%,83%,18%
south dakota,SD,18, 3.21 ,61%,32%,6%,2%,42%,42%,9%,8%,69%,34%,50%,50%,92%,8%,83%,17%
district of columbia,DC,19, 3.37 ,40%,7%,27%,27%,18%,18%,30%,35%,70%,33%,47%,53%,47%,53%,36%,64%
california,CA,20, 3.37 ,55%,22%,16%,7%,19%,20%,30%,31%,86%,29%,50%,50%,77%,23%,39%,61%
